"station","prov","year","annual","flag_annual","winter","flag_winter","spring","flag_spring","summer","flag_summer","autumn","flag_autumn"
"SHAWNIGAN LAKE","BC",1971,8.8," ",2.7," ",7.5," ",16.2," ",9.2," "
"SHAWNIGAN LAKE","BC",1972,8.7," ",1.3," ",8.2," ",16.4," ",8.9," "
"SHAWNIGAN LAKE","BC",1973,9," ",2.1," ",8.5," ",15.4," ",9.1," "
"SHAWNIGAN LAKE","BC",1974,9.4," ",3.3," ",7.6," ",15.8," ",10.9," "
"SHAWNIGAN LAKE","BC",1975,8.7," ",2.7," ",7.3," ",15.7," ",9.8," "
"SHAWNIGAN LAKE","BC",1976,9.2," ",3.3," ",7.3," ",14.9," ",10.5," "
"SHAWNIGAN LAKE","BC",1977,9.3," ",4.3," ",8.3," ",16.9," ",8.7," "
"SHAWNIGAN LAKE","BC",1978,9.6," ",3.2," ",8.7," ",17.4," ",9.1," "
"SHAWNIGAN LAKE","BC",1979,9.7," ",1.4," ",9.1," ",16.7," ",10.3," "
"SHAWNIGAN LAKE","BC",1980,9.2," ",2.9," ",8.7," ",15.3," ",10," "
"SHAWNIGAN LAKE","BC",1981,9.5," ",4.6," ",8.6," ",15.9," ",9.6," "
"SHAWNIGAN LAKE","BC",1982,9," ",2.4," ",7.3," ",16.7," ",9.6," "
"SHAWNIGAN LAKE","BC",1983,9.6," ",4.6," ",9.6," ",15.9," ",9.4," "
"SHAWNIGAN LAKE","BC",1984,8.9," ",2.9," ",7.9," ",15.9," ",8.7," "
"SHAWNIGAN LAKE","BC",1985,8.6," ",1.7," ",8.1," ",16.9," ",7.5," "
"SHAWNIGAN LAKE","BC",1986,9.9," ",2.8," ",8.7," ",17.1," ",10.3," "
"SHAWNIGAN LAKE","BC",1987,10.5," ",4.2," ",9.5," ",16.9," ",11.7," "
"SHAWNIGAN LAKE","BC",1988,10," ",3.5," ",9," ",16.4," ",10.6," "
"SHAWNIGAN LAKE","BC",1989,9.6," ",2.1," ",8.7," ",16.4," ",11," "
"SHAWNIGAN LAKE","BC",1990,9.9," ",3.7," ",9.4," ",17.6," ",10.5," "
"SHAWNIGAN LAKE","BC",1991,10.1," ",3.2," ",8.5," ",16.5," ",10.7," "
"SHAWNIGAN LAKE","BC",1992,10.7," ",5.4," ",10.8," ",17.7," ",10.1," "
"SHAWNIGAN LAKE","BC",1993,9.7," ",1.2," ",9.7," ",16.3," ",10.5," "
"SHAWNIGAN LAKE","BC",1994,10.2,"E",4.4,"E",9.8," ",16.9," ",9.9," "
"SHAWNIGAN LAKE","BC",1995,10.5," ",3.9," ",9.7," ",16.9," ",11.4," "
"SHAWNIGAN LAKE","BC",1996,9.2," ",3.3," ",8.4," ",17," ",9," "
"SHAWNIGAN LAKE","BC",1997,10.2," ",2.8," ",9.1," ",16.9," ",10.7," "
"SHAWNIGAN LAKE","BC",1998,10.6," ",4.3," ",9.5," ",17.9," ",11," "
"SHAWNIGAN LAKE","BC",1999,9.4,"E",3.5," ",7.4,"E",16.1,"E",10.1,"E"
"SHAWNIGAN LAKE","BC",2000,9.5," ",3.5," ",8.6," ",16.5," ",9.9," "
"SHAWNIGAN LAKE","BC",2001,9.6," ",3.4," ",8.7," ",16," ",10.4," "
"SHAWNIGAN LAKE","BC",2002,9.9," ",3.5," ",7.7," ",17.2," ",10.6," "
"SHAWNIGAN LAKE","BC",2003,10.5," ",4.9," ",8.8," ",18," ",10.5," "
"SHAWNIGAN LAKE","BC",2004,10.9," ",3.7," ",10.6," ",18.6," ",10.3," "
"SHAWNIGAN LAKE","BC",2005,10.3," ",3.9," ",10.3," ",17.3," ",9.8," "
"SHAWNIGAN LAKE","BC",2006,10.3," ",4.3," ",9.2," ",17.6," ",10.2," "
"SHAWNIGAN LAKE","BC",2007,9.7," ",3.9," ",9," ",17," ",9.3," "
"SHAWNIGAN LAKE","BC",2008,9.2," ",3.1," ",7.9," ",16.4," ",10.3," "
"SHAWNIGAN LAKE","BC",2009,9.6," ",1.9," ",7.9," ",18.2," ",10.3," "
"SHAWNIGAN LAKE","BC",2010,10," ",4.3," ",8.5," ",16.8," ",9.6," "
"SHAWNIGAN LAKE","BC",2011,9.1," ",2.8," ",7.3," ",16.3," ",9.9," "
"SHAWNIGAN LAKE","BC",2012,9.7," ",3.2," ",8.3," ",16.7," ",10.5," "
"SHAWNIGAN LAKE","BC",2013,10.1," ",3.4," ",9.3," ",17.8," ",10.3," "
"SHAWNIGAN LAKE","BC",2014,10.8," ",2.8," ",9.8," ",18.4," ",11.4," "
"SHAWNIGAN LAKE","BC",2015,11.4," ",5.5," ",10.6," ",19.3," ",10.4," "
"SHAWNIGAN LAKE","BC",2016,10.9," ",4.6," ",11.3," ",18.1," ",10.8," "
"SHAWNIGAN LAKE","BC",2017,10," ",1.4," ",9," ",18.2," ",10.9," "
"VICTORIA","BC",1899,9.3,"a",2.8,"a",7.4,"a",15.1,"a",11.2,"a"
"VICTORIA","BC",1900,10.2,"a",4.9,"a",10.3,"a",15.6,"a",9.6,"a"
"VICTORIA","BC",1901,9.6,"a",4.5,"a",8.1,"a",14.7,"a",11.6,"a"
"VICTORIA","BC",1902,9.8,"a",4.9,"a",8.7,"a",15.7,"a",10.4,"a"
"VICTORIA","BC",1903,9.3,"a",3.9,"a",7.5,"a",15.4,"a",10,"a"
"VICTORIA","BC",1904,9.9,"a",4.1,"a",8.5,"a",15.2,"a",11.6,"a"
"VICTORIA","BC",1905,9.8,"a",4.7,"a",9.9,"a",15.5,"a",9.5,"a"
