Prov,Station name,stnid,beg yr,beg mon,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
AB,PEACE RIVER,3075041,1907,10,2017,12,56.23,-117.43,571,Y
AB,PINCHER CREEK,3035198,1893,8,2017,12,49.52,-113.98,1190,Y
AB,RANFURLY,3015401,1905,1,2017,12,53.42,-111.73,673,Y
AB,ROCKY MTN HOUSE,3015523,1915,8,2017,12,52.43,-114.92,988,Y
AB,SION,3015960,1908,1,2004,12,53.88,-114.12,701,N
AB,SLAVE LAKE,3065995,1922,8,2017,12,55.3,-114.78,583,Y
AB,STETTLER NORTH,3016124,1918,9,2017,12,52.33,-112.72,821,Y
AB,VAUXHALL,3036682,1913,10,2017,12,50.05,-112.13,779,Y
AB,WHITECOURT,3067373,1942,12,2016,6,54.15,-115.78,782,Y
SK,ANEROID,4020160,1922,2,2005,4,49.72,-107.3,754,N
SK,BUFFALO NARROWS,4060982,1962,1,2012,11,55.83,-108.43,440,Y
SK,COLLINS BAY,4061632,1972,9,2017,12,58.18,-103.7,490,Y
SK,COTE,4011846,1907,8,2006,3,51.52,-101.78,450,Y
SK,KEY LAKE,4063755,1976,11,2017,12,57.4,-107.1,509,N
SK,DAVIDSON,4012130,1922,6,2008,3,51.27,-105.98,619,Y
SK,ESTEVAN,4012400,1900,6,2015,2,49.22,-102.97,581,Y
SK,HUDSON BAY,4083324,1943,3,2017,12,52.82,-102.32,358,Y
SK,INDIAN HEAD,4013480,1889,9,2017,12,50.55,-103.65,579,N
SK,ISLAND FALLS,4063565,1929,9,2017,12,55.53,-102.35,297,Y
SK,KELLIHER,4013660,1908,1,2017,12,51.25,-103.75,676,Y
SK,KINDERSLEY,4043901,1912,8,2017,12,51.52,-109.18,694,Y
SK,LA RONGE,4064155,1923,9,2017,12,55.15,-105.27,379,Y
SK,LEADER,402DAF0,1924,1,2017,12,50.88,-109.53,676,Y
SK,LOON LAKE,4064620,1930,1,2017,12,54.02,-109.13,546,Y
SK,LOST RIVER,4075525,1911,5,2017,12,53.28,-104.33,372,Y
SK,MOOSE JAW,4015322,1894,3,2017,12,50.33,-105.55,577,Y
SK,MOOSOMIN,4015360,1941,4,2000,9,50.13,-101.67,576,N
SK,NORTHBATTLEFORD,4045695,1891,1,2017,12,52.77,-108.25,548,Y
SK,OUTLOOK,4055736,1915,2,2017,12,51.48,-107.05,541,Y
SK,PASWEGIN,4015960,1963,9,2003,9,51.98,-103.92,533,N
SK,PELLY,4086000,1951,8,2016,3,52.08,-101.87,509,N
SK,PILGER,4056120,1911,10,2011,9,52.42,-105.15,552,N
SK,POPLAR RIVER,4038740,1956,10,2002,6,49,-106.38,876,N
SK,PRINCE ALBERT,4056241,1884,9,2017,12,53.22,-105.67,428,Y
SK,REGINA,4016699,1898,1,2017,12,50.43,-104.67,577,Y
SK,SASKATOON,4057165,1900,2,2017,12,52.17,-106.72,504,Y
SK,SCOTT,4047240,1911,5,2017,12,52.37,-108.83,660,N
SK,SWIFT CURRENT,4028038,1885,12,2017,12,50.27,-107.73,817,Y
SK,URANIUM CITY,406QLD0,1953,1,2017,12,59.57,-108.48,318,Y
SK,VAL MARIE,4038400,1937,4,2010,5,49.37,-107.85,808,N
SK,WASECA,4048520,1907,7,2014,12,53.13,-109.4,638,N
SK,WASKESIU LAKE,4068559,1966,1,2017,12,53.92,-106.07,569,Y
SK,WHITESAND DAM,4067655,1938,1,2017,12,56.23,-103.15,344,Y
SK,YELLOW GRASS,4019040,1911,8,2017,7,49.82,-104.18,580,N
SK,YORKTON,4019082,1941,5,2016,1,51.27,-102.47,498,Y
MB,ARBORG,5030080,1960,11,2016,6,50.93,-97.08,224,N
MB,BERENS RIVER,5030203,1905,1,2017,12,52.35,-97.03,222,Y
MB,BIRTLE,5010240,1904,6,2000,7,50.43,-101.05,522,N
MB,BRANDON,5010481,1890,1,2017,12,49.87,-99.98,363,Y
MB,BROCHET,5060520,1948,8,2009,9,57.88,-101.68,346,N
MB,CHURCHILL,5060595,1932,1,2017,12,58.73,-94.05,29,Y
MB,CYPRESS RIVER,5010641,1949,1,2017,12,49.55,-99.08,374,Y
MB,DAUPHIN,5040689,1903,1,2017,12,51.1,-100.05,305,Y
MB,FLIN FLON,5050920,1927,2,2017,12,54.77,-101.88,320,N
MB,GILLAM,5061022,1943,3,2017,12,56.35,-94.72,145,Y
MB,GIMLI,5031042,1944,3,2017,12,50.63,-97.05,230,Y
MB,GRAND RAPIDS,5031111,1960,7,2017,12,53.15,-99.28,223,Y
MB,GREAT FALLS,5031201,1922,9,2017,12,50.47,-96,253,Y
MB,INDIAN BAY,5031320,1915,4,2017,12,49.62,-95.2,327,N
MB,LYNN LAKE,5061645,1952,4,2017,12,56.87,-101.08,357,Y
MB,MINNEDOSA,5042004,1881,7,2008,11,50.27,-99.83,412,Y
MB,MORDEN EXP FARM,5021849,1904,3,2017,12,49.18,-98.08,298,Y
MB,NORWAY HOUSE,5062040,1897,10,2017,12,53.96,-97.85,224,Y
MB,PIERSON,501A7AR,1933,1,2017,12,49.18,-101.27,469,Y
MB,PINAWA,5032162,1915,6,2017,3,50.18,-96.07,267,Y
MB,SPRAGUE,5022759,1915,9,2017,12,49.02,-95.6,329,Y
MB,THE PAS,5052881,1910,6,2017,12,53.97,-101.1,270,Y
MB,THOMPSON,5062921,1967,4,2017,12,55.8,-97.87,222,Y
MB,WINNIPEG,502S001,1872,3,2017,12,49.92,-97.23,239,Y
ON,ATIKOKAN,6020LPQ,1917,1,2017,12,48.8,-91.58,442,Y
ON,BEATRICE,6110607,1878,1,2017,12,45.13,-79.4,297,Y
ON,BELLEVILLE,6150689,1921,1,2017,12,44.15,-77.4,76,N
ON,BIG TROUT LAKE,6010735,1939,2,2017,12,53.83,-89.87,224,Y
ON,BROCKVILLE,6100971,1915,7,2017,12,44.6,-75.67,96,Y
ON,CAMERON FALLS,6041110,1924,6,2017,12,49.15,-88.35,233,Y
ON,CHAPLEAU,6061361,1913,7,2015,3,47.82,-83.35,447,Y
ON,CORNWALL,6101874,1950,11,2017,12,45.02,-74.75,64,N
ON,DRYDEN,6032125,1914,1,2017,12,49.78,-92.83,413,Y
ON,EARLTON,6072230,1938,9,2017,12,47.7,-79.85,243,Y
ON,FORT FRANCES,6022474,1917,1,2017,12,48.65,-93.43,342,Y
ON,GERALDTON,6042716,1967,11,2015,2,49.78,-86.93,349,Y
ON,GORE BAY,6092920,1916,1,2017,12,45.88,-82.57,194,Y
ON,HALIBURTON,6163171,1888,6,2017,12,45.03,-78.53,330,Y
ON,HAMILTON,6153193,1866,1,2017,12,43.17,-79.93,238,Y
ON,HARROW,6130257,1917,4,2017,12,42.03,-82.9,182,Y
ON,HORNEPAYNE,6053575,1917,6,1995,7,49.2,-84.77,335,Y
ON,IROQUOIS FALLS,6073810,1913,3,1998,12,48.75,-80.67,259,N
ON,KAPUSKASING,6073976,1918,1,2017,12,49.42,-82.47,227,Y
ON,KENORA,6034076,1899,9,2017,12,49.78,-94.37,406,Y
ON,KINGSTON,6104142,1872,7,2017,12,44.22,-76.6,93,Y
ON,LANSDOWNE HOUSE,6014353,1941,3,2017,12,52.23,-87.88,255,Y
ON,LONDON,6144478,1883,3,2017,12,43.03,-81.15,278,Y
ON,MADAWASKA,6080192,1915,8,2017,12,45.5,-77.98,316,Y
ON,MINE CENTRE,6025205,1915,2,2017,12,48.8,-92.6,361,Y
ON,MOOSONEE,6075425,1892,10,2017,12,51.27,-80.65,10,Y
ON,MORRISBURG,6105460,1913,6,2008,12,44.92,-75.18,82,N
ON,NORTH BAY,6085701,1925,1,2014,5,46.37,-79.42,370,Y
ON,ORANGEVILLE,6155790,1887,1,2015,12,43.92,-80.08,412,Y
ON,OTTAWA,6105976,1889,11,2017,12,45.38,-75.72,79,N
ON,OWEN SOUND,6116132,1878,7,2007,12,44.58,-80.93,179,Y
ON,PETERBOROUGH,6166415,1866,4,2017,12,44.23,-78.37,191,Y
ON,PICKLE LAKE,6016529,1934,1,2016,6,51.45,-90.22,386,Y
ON,RED LAKE,6016970,1965,1,2016,6,51.07,-93.8,386,Y
ON,RIDGETOWN,6137154,1923,5,2017,12,42.45,-81.88,206,Y
ON,SAULT STE MARIE,6057591,1945,6,2017,12,46.48,-84.52,192,Y
ON,SIOUX LOOKOUT,6037776,1914,1,2017,12,50.12,-91.9,383,Y
ON,SMOKY FALLS,6077845,1933,10,1997,4,50.07,-82.17,183,N
ON,SUDBURY,6068153,1947,9,2017,12,46.62,-80.8,348,Y
ON,THUNDER BAY,6048260,1877,7,2017,12,48.37,-89.33,199,Y
ON,TIMMINS,6078286,1955,4,2017,12,48.57,-81.38,295,Y
ON,TORONTO,6158355,1840,3,2017,12,43.67,-79.4,113,Y
ON,VINELAND,6139148,1924,10,2017,12,43.18,-79.68,79,Y
ON,WAWA,6059407,1940,3,2016,6,47.97,-84.78,287,Y
ON,WELLAND,6139449,1872,10,2017,12,43,-79.27,175,Y
ON,WINDSOR,6139527,1940,8,2017,12,42.27,-82.97,190,Y
ON,WOODSTOCK,6149625,1871,11,2017,12,43.13,-80.77,282,N
QC,AMOS,709CEE9,1913,6,2017,8,48.57,-78.13,305,Y
QC,BAGOTVILLE,7060400,1880,11,2017,12,48.33,-71,159,Y
QC,BAIE COMEAU,704S001,1965,1,2017,12,49.13,-68.2,130,Y
QC,BEAUCEVILLE,7027283,1913,8,2017,8,46.15,-70.7,168,Y
QC,BELLETERRE,7080600,1951,9,2004,4,47.38,-78.7,322,N
QC,BROME,7020840,1890,9,2014,7,45.18,-72.57,206,N
QC,CAUSAPSCAL,7051200,1913,11,2017,8,48.37,-67.23,168,N
QC,CHELSEA,7031360,1927,9,2017,8,45.52,-75.78,113,N
QC,CHIBOUGAMAU,7091404,1914,7,2016,11,49.77,-74.53,387,Y
QC,DONNACONA,7011982,1918,7,2017,8,46.68,-71.73,15,Y
QC,DRUMMONDVILLE,7022160,1913,11,2017,8,45.88,-72.48,82,N
QC,GASPE,7052601,1916,1,2017,12,48.78,-64.48,33,Y
QC,ILES MADELEINE,7053250,1933,9,2017,11,47.42,-61.78,11,Y
QC,INUKJUAK,710S005,1921,11,2017,12,58.47,-78.08,25,Y
QC,JOLIETTE,7013362,1914,1,2011,4,46.02,-73.43,56,Y
QC,KUUJJUAQ,7113535,1947,3,2017,12,58.1,-68.42,39,Y
QC,KUUJJUARAPIK,7103536,1925,10,2014,4,55.28,-77.75,10,N
QC,LA POCATIERE,7054096,1913,10,2017,12,47.35,-70.03,31,Y
QC,LA SARRE,7094120,1951,9,2004,4,48.78,-79.22,244,N
QC,LA TUQUE,707DBD4,1911,9,2017,12,47.4,-72.78,169,Y
QC,LABRIEVILLE,7043540,1955,1,1994,12,49.3,-69.55,152,N
 QC,LEBEL QUEVILLON,7094275,1967,1,2004,4,49.05,-76.97,305,N
QC,LENNOXVILLE,7024280,1915,1,2017,12,45.37,-71.82,181,N
QC,LES CEDRES,7014290,1913,2,2017,8,45.3,-74.05,47,N
QC,MANIWAKI,7034482,1914,6,2017,12,46.3,-76,200,Y
QC,MONT JOLI,7055121,1875,10,2017,12,48.6,-68.2,52,Y
QC,MONT LAURIER,7035160,1920,7,2014,6,46.57,-75.55,244,Y
QC,MONTREAL TAVISH,7024740,1871,7,2017,12,45.47,-73.75,73,Y
QC,NATASHQUAN,7045401,1914,10,2017,12,50.18,-61.82,11,Y
QC,NICOLET,7025440,1913,11,2017,8,46.2,-72.62,30,N
QC,NORMANDIN,7065639,1936,7,2017,12,48.85,-72.53,137,Y
QC,PARENT,7075800,1943,7,2017,12,47.92,-74.62,445,Y
QC,QUAQTAQ,7116270,1943,1,1988,5,61.05,-69.63,30,Y
QC,QUEBEC,701S001,1875,8,2017,12,46.8,-71.38,74,Y
QC,ROBERVAL,7066686,1914,1,2017,12,48.52,-72.27,179,Y
QC,SCHEFFERVILLE,7117827,1948,8,2017,12,54.8,-66.82,522,Y
QC,SEPT-ILES,7047914,1944,9,2017,12,50.22,-66.27,53,Y
QC,SHEENBOROUGH,7038080,1915,7,2017,12,45.95,-77.32,137,Y
QC,ST JEROME,7037400,1932,5,2017,8,45.8,-74.05,170,N
QC,STEROSE DEGELIS,7057720,1932,11,2004,4,47.57,-68.63,151,N
QC,TADOUSSAC,7042840,1913,11,2015,11,48.15,-69.7,70,Y
QC,TEMISCAMINGUE,7080468,1910,4,2017,12,46.72,-79.1,181,N
QC,TETE BALEINE,7041382,1911,8,2017,12,50.7,-59.32,9,Y
QC,THETFORD MINES,7028441,1922,2,2016,7,46.1,-71.35,381,Y
QC,VAL D'OR,7098603,1951,7,2017,12,48.05,-77.78,337,Y
QC,VILLE MARIE,7088760,1913,12,2004,4,47.35,-79.43,213,N
NB,AROOSTOOK,8100300,1914,3,2017,12,46.8,-67.72,91,Y
NB,BATHURST,8100505,1922,1,2017,12,47.63,-65.75,59,Y
NB,CHATHAM MIRA.,8100989,1873,1,2017,12,47.02,-65.47,33,Y
NB,DOAKTOWN,8101200,1952,8,2009,6,46.55,-66.15,38,N
NB,EDMUNDSTON,8101303,1918,6,2017,12,47.33,-68.18,163,Y
NB,FREDERICTON,8101505,1871,12,2017,12,45.87,-66.53,21,Y
NB,MONCTON,8103201,1898,5,2017,12,46.1,-64.68,71,Y
NB,REXTON,8104400,1924,9,2009,12,46.67,-64.87,5,N
NB,SAINT JOHN,8104901,1871,1,2017,12,45.32,-65.88,109,Y
NB,SUSSEX,8105200,1897,10,2009,5,45.72,-65.53,21,N
NB,WOODSTOCK,8105600,1914,3,2017,12,46.17,-67.55,153,N
NS,ANNAPOLIS ROYAL,8200100,1914,4,2006,5,44.75,-65.52,8,N
NS,COLLEGEVILLE,8201000,1916,6,2014,6,45.48,-62.02,76,N
NS,DEMING,8201410,1913,12,2011,12,45.22,-61.18,16,Y
NS,GREENWOOD,8202000,1942,11,2017,12,44.98,-64.92,28,N
NS,HALIFAX,8202251,1871,4,2017,12,44.65,-63.58,145,Y
NS,KENTVILLE,8202810,1913,4,2017,12,45.07,-64.48,49,Y
NS,LIVERPOOL,8203100,1940,1,2012,10,44.13,-64.93,50,N
NS,NAPPAN,8203702,1913,10,2017,12,45.77,-64.25,20,Y
NS,PARRSBORO,8204402,1897,2,2017,12,45.4,-64.33,24,Y
NS,SABLE ISLAND,8204700,1897,10,2017,10,43.93,-60.02,5,N
NS,SYDNEY,8205701,1870,1,2017,12,46.17,-60.05,62,Y
NS,UPPER STEWIACKE,8204193,1915,11,2017,12,45.22,-63,24,Y
NS,YARMOUTH,8206495,1879,8,2017,12,43.83,-66.08,43,Y
PE,CHARLOTTETOWN,8300301,1872,11,2017,12,46.28,-63.13,49,Y
PE,MONTICELLO,8300447,1960,12,2003,12,46.47,-62.47,32,N
PE,SUMMERSIDE,8300700,1929,6,2002,6,46.43,-63.83,20,Y
NL,BATTLE HARBOUR,8502592,1884,4,2017,12,52.25,-55.6,12,Y
NL,BAY D'ESPOIR,8400413,1967,11,2017,12,47.98,-55.8,23,N
NL,CARTWRIGHT,8501100,1934,11,2015,3,53.72,-57.03,14,N
NL,CHURCHILL FALLS,8501131,1968,11,2017,12,53.55,-64.1,489,Y
NL,CORNER BROOK,8401300,1933,4,2017,12,48.95,-57.95,5,N
NL,DANIELS HARBOUR,8401400,1946,11,2017,12,50.23,-57.58,19,N
NL,DEER LAKE,8401502,1933,3,2017,12,49.22,-57.4,22,Y
NL,EXPLOITS DAM,8401550,1956,6,2009,2,48.77,-56.6,154,N
NL,GANDER,8401703,1937,1,2017,12,48.95,-54.58,151,Y
NL,GOOSE,8501900,1941,12,2017,12,53.32,-60.42,49,N
NL,GRAND FALLS,8404310,1934,1,2011,6,48.93,-55.67,60,Y
NL,HOPEDALE,8502400,1942,1,2017,12,55.45,-60.22,12,N
NL,NAIN,8502800,1970,1,2015,3,56.55,-61.68,7,N
NL,PLUM POINT,8402958,1972,7,2016,6,51.07,-56.88,6,N
NL,PORT AUXBASQUES,8402975,1909,2,2017,9,47.58,-58.97,40,N
NL,ST ANTHONY,8403389,1946,6,2017,12,51.37,-55.6,33,Y
NL,ST JOHN'S,8403505,1874,1,2017,12,47.62,-52.75,141,Y
NL,STEPHENVILLE,8403801,1895,6,2017,12,48.53,-58.55,26,Y
NL,WABUSH LAKE,8504177,1960,11,2017,12,52.93,-66.87,551,Y
