Prov,Station name,stnid,beg yr,beg mon,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
BC,AGASSIZ,1100120,1893,1,2017,12,49.25,-121.77,15,N
BC,ATLIN,1200560,1905,8,2017,12,59.57,-133.7,674,N
BC,BARKERVILLE,1090660,1888,2,2015,3,53.07,-121.52,1265,N
BC,BEAVERDELL,1130771,1939,1,2006,9,49.48,-119.05,838,Y
BC,BELLA COOLA,1060841,1895,5,2017,11,52.37,-126.68,18,Y
BC,BLIND CHANNEL,1021480,1958,7,2016,2,50.42,-125.5,23,N
BC,BLUE RIVER,1160899,1946,9,2017,12,52.13,-119.28,683,Y
BC,CAPE SCOTT,1031353,1921,7,2016,6,50.78,-128.43,72,Y
BC,CAPE ST JAMES,1051351,1944,12,2017,12,51.93,-131.02,89,Y
BC,CARIBOO LODGE,1171393,1914,1,2015,6,52.72,-119.47,1096,Y
BC,COMOX,1021830,1935,11,2017,12,49.72,-124.9,26,Y
BC,CRANBROOK,1152105,1901,1,2017,12,49.62,-115.78,940,Y
BC,CRESTON,1142160,1912,6,2015,6,49.1,-116.52,597,N
BC,DARFIELD,1162265,1913,12,2017,11,51.3,-120.18,412,Y
BC,DAWSON CREEK,1182289,1952,9,2017,12,55.75,-120.18,655,Y
BC,DEASE LAKE,1192341,1944,9,2017,12,58.42,-130,807,Y
BC,ESTEVAN POINT,1032730,1923,10,2017,12,49.38,-126.55,7,N
BC,FAUQUIER,1142820,1913,2,2015,6,49.87,-118.07,490,N
BC,FORT NELSON,1192946,1937,9,2017,12,58.83,-122.6,382,Y
BC,FORT ST JAMES,1092970,1895,1,2017,12,54.45,-124.25,686,N
BC,FORT ST JOHN,1183001,1939,1,2017,12,56.23,-120.73,695,Y
BC,GERMANSEN,1183090,1951,8,2013,11,55.78,-124.7,766,N
BC,GLACIER,1173191,1908,1,2014,7,51.3,-117.52,1323,Y
BC,GOLDEN,1173210,1902,4,2017,12,51.3,-116.98,785,N
BC,GRAND FORKS,1133270,1911,3,2008,3,49.03,-118.47,532,Y
BC,KAMLOOPS,1163781,1890,1,2017,12,50.7,-120.45,345,Y
BC,KASLO,1143900,1912,3,2017,12,49.92,-116.92,591,N
BC,KELOWNA,1123993,1899,3,2014,4,49.87,-119.48,430,Y
BC,LANGARA,1054500,1936,7,2017,12,54.25,-133.05,41,N
BC,MCINNES ISLAND,1065010,1955,1,2017,12,52.27,-128.72,26,N
BC,MERRITT,1125079,1962,6,2017,12,50.12,-120.8,609,Y
BC,OLIVER,1125766,1955,1,2017,12,49.18,-119.55,297,N
BC,PENTICTON,1126146,1907,4,2017,12,49.47,-119.6,344,Y
BC,PORT HARDY,1026271,1944,5,2017,12,50.68,-127.37,22,Y
BC,PRINCE GEORGE,1096439,1912,8,2017,12,53.88,-122.67,680,Y
BC,PRINCE RUPERT,1066482,1908,8,2017,12,54.28,-130.45,35,Y
BC,PRINCETON,1126510,1893,7,2017,12,49.47,-120.52,700,Y
BC,QUATSINO,1036572,1895,6,2017,2,50.53,-127.65,8,Y
BC,QUESNEL,1096629,1899,1,2017,12,53.03,-122.52,545,Y
BC,QUINSAM RIVER,1026639,1958,7,2017,12,50.02,-125.3,46,Y
BC,SALMON ARM,1167337,1911,7,2017,12,50.68,-119.23,527,Y
BC,SANDSPIT,1057050,1945,9,2017,3,53.25,-131.82,6,N
BC,SHAWNIGAN LAKE,1017230,1913,4,2017,12,48.65,-123.63,138,N
BC,SMITHERS,1077500,1922,6,2017,12,54.82,-127.18,522,Y
BC,STEWART,1067742,1910,9,2016,6,55.93,-129.98,7,Y
BC,TATLAYOKO LAKE,1088015,1930,1,2017,12,51.67,-124.4,870,Y
BC,TERRACE,1068134,1912,10,2017,12,54.47,-128.58,217,Y
BC,VANCOUVER,1108395,1896,2,2017,12,49.2,-123.18,4,Y
BC,VAVENBY,1168520,1913,4,2017,12,51.58,-119.78,445,N
BC,VERNON,1128582,1900,4,2017,12,50.23,-119.2,427,Y
BC,VICTORIA,1018621,1898,8,2017,12,48.45,-123.27,19,Y
BC,WARFIELD,1148705,1928,6,2017,12,49.1,-117.75,606,Y
BC,WILLIAMS LAKE,1098941,1939,1,2017,12,52.18,-122.05,940,Y
BC,WISTARIA,1085835,1926,1,2017,7,53.83,-126.22,863,Y
YT,BURWASH,2100181,1966,10,2017,12,61.37,-139.05,807,Y
YT,DAWSON,2100LRP,1901,1,2017,12,64.05,-139.13,370,Y
YT,HAINES JUNCTIO,2100630,1944,10,2017,12,60.75,-137.5,596,N
YT,KOMAKUK BEACH,2100682,1958,7,2017,12,69.62,-140.2,13,Y
YT,MAYO,2100701,1924,10,2017,12,63.62,-135.87,504,Y
YT,OLD CROW,2100805,1951,9,2017,12,67.57,-139.83,251,Y
YT,PELLY RANCH,2100880,1955,1,2015,3,62.82,-137.37,454,N
YT,SHINGLE POINT,2100950,1957,6,2017,12,68.95,-137.22,49,N
YT,TESLIN,2101102,1943,10,2017,12,60.17,-132.75,705,Y
YT,WATSON LAKE,2101204,1938,10,2017,12,60.12,-128.82,687,Y
YT,WHITEHORSE,2101303,1942,4,2017,12,60.72,-135.07,706,Y
NT,CAPE PARRY,2200675,1957,5,2017,12,70.17,-124.72,87,N
NT,FORT GOOD HOPE,2201450,1944,8,2017,12,66.23,-128.65,82,Y
NT,FORT MCPHERSON,2201601,1940,1,2014,11,67.4,-134.85,35,Y
NT,FORT RELIANCE,2201903,1948,10,2017,12,62.72,-109.17,168,Y
NT,FORT SIMPSON,2202103,1895,11,2017,12,61.77,-121.23,169,Y
NT,FORT SMITH,2202201,1913,7,2017,12,60.02,-111.97,205,Y
NT,HAY RIVER,2202401,1893,9,2017,12,60.83,-115.78,166,Y
NT,INUVIK,2202578,1957,3,2017,12,68.3,-133.48,103,Y
NT,MOULD BAY,250M001,1948,5,2017,12,76.23,-119.35,2,Y
NT,NORMAN WELLS,2202801,1943,5,2017,12,65.28,-126.8,73,Y
NT,SACHS HARBOUR,2503648,1955,11,2017,11,72,-125.27,86,Y
NT,TUKTOYAKTUK,2203914,1957,6,2017,7,69.45,-133,18,Y
NT,YELLOWKNIFE,2204101,1942,7,2017,12,62.47,-114.43,206,Y
NU,ALERT,2400305,1950,7,2017,12,82.5,-62.33,65,Y
NU,ARCTIC BAY,2400404,1937,9,2017,12,72.98,-84.62,642,Y
NU,BAKER LAKE,2300503,1946,2,2017,12,64.3,-96.08,18,Y
NU,BROUGHTON,2400570,1957,9,2017,12,67.53,-63.78,584,N
NU,CAMBRIDGE BAY,2400600,1940,1,2015,2,69.1,-105.13,27,N
NU,CAPE DORSET,2400637,1927,9,2017,12,64.2,-76.5,48,Y
NU,CAPE DYER,2400650,1959,8,2017,11,66.65,-61.38,393,Y
NU,CAPE HOOPER,2400660,1957,1,2017,12,68.47,-66.82,390,N
NU,CHESTERFIELD,2300707,1930,9,2014,11,63.33,-90.72,10,Y
NU,CLYDE,2400803,1946,2,2017,12,70.48,-68.52,27,Y
NU,CORAL HARBOUR,2301000,1945,3,2015,5,64.2,-83.37,64,N
NU,DEWAR LAKES,2401030,1958,2,2017,12,68.65,-71.17,527,N
NU,ENNADAI LAKE,2301102,1949,10,2017,12,61.1,-100.9,353,Y
NU,EUREKA,2401200,1947,5,2016,2,79.98,-85.93,10,N
NU,HALL BEACH,2402354,1957,1,2017,12,68.78,-81.25,8,Y
NU,IQALUIT,2402591,1946,1,2015,6,63.75,-68.55,34,Y
NU,KUGLUKTUK,2300902,1930,10,2014,12,67.82,-115.13,23,Y
NU,LONGSTAFF BLUFF,2402684,1958,7,2009,7,68.9,-75.13,161,N
NU,LUPIN,230N002,1959,1,2017,12,65.77,-111.23,490,Y
NU,PELLY BAY,2303092,1957,8,2012,8,68.53,-89.8,16,Y
NU,POND INLET,2403206,1922,10,2017,12,72.7,-77.97,55,Y
NU,RESOLUTE,2403498,1947,10,2017,12,74.72,-94.98,67,Y
NU,SHEPHERD BAY,2303685,1957,4,2017,10,68.82,-93.43,43,N
AB,ATHABASCA,3060L20,1918,6,2017,12,54.82,-113.53,626,Y
AB,BANFF,3050519,1887,11,2017,12,51.2,-115.55,1397,Y
AB,BEAVERLODGE,3070600,1913,4,2017,12,55.2,-119.4,745,Y
AB,CALGARY,3031092,1885,1,2017,12,51.12,-114.02,1084,Y
AB,CALMAR,3011120,1915,11,2016,12,53.28,-113.85,720,N
AB,CAMPSIE,3061200,1912,9,2013,10,54.13,-114.68,671,N
AB,CAMROSE,3011240,1946,3,2017,12,53.03,-112.82,739,N
AB,CARWAY,3031402,1914,8,2017,12,49,-113.37,1354,Y
AB,COLD LAKE,3081680,1925,7,2017,12,54.42,-110.28,541,Y
AB,CORONATION,3011887,1924,4,2017,12,52.08,-111.45,791,Y
AB,EDMONTON,3012216,1880,7,2017,12,53.57,-113.52,723,Y
AB,EDSON,3062246,1914,2,2017,12,53.58,-116.47,927,Y
AB,ENTRANCE,306A009,1917,6,2017,12,53.37,-117.7,991,Y
AB,FAIRVIEW,3072525,1931,10,2017,12,56.07,-118.38,655,Y
AB,FORT CHIPEWYAN,3072655,1883,10,2017,12,58.77,-111.12,238,Y
AB,FORT MCMURRAY,3062696,1916,1,2017,12,56.65,-111.22,369,Y
AB,FORT VERMILION,3072723,1908,7,2017,12,58.38,-116.03,289,Y
AB,GLEICHEN,3032801,1903,7,2017,12,50.88,-113.05,905,Y
AB,GRANDE PRAIRIE,3072921,1922,8,2017,12,55.18,-118.88,669,Y
AB,HIGH PRAIRIE,3063165,1926,9,2017,9,55.4,-116.48,602,Y
AB,HIGH RIVER,3033250,1902,8,2011,9,50.48,-114.17,1580,Y
AB,JASPER,3053536,1926,9,2017,12,52.93,-118.03,1020,Y
AB,JENNER,3023560,1915,8,2008,1,50.72,-111.2,755,N
AB,KEG RIVER,3073641,1935,7,2007,11,57.75,-117.62,405,Y
AB,LACOMBE,3023722,1907,12,2017,12,52.45,-113.75,860,Y
AB,LETHBRIDGE,3033890,1902,1,2017,12,49.63,-112.8,929,Y
AB,MANYBERRIES,3044923,1928,8,2017,12,49.12,-110.47,935,Y
AB,MEDICINE HAT,3034485,1883,8,2017,12,50.02,-110.72,717,Y
AB,OLDS,3024925,1914,4,2017,12,51.78,-114.1,1046,Y
