"station","prov","year","annual"
"SHAWNIGAN LAKE","BC",1914,9.7
"SHAWNIGAN LAKE","BC",1915,9.9
"SHAWNIGAN LAKE","BC",1916,7.8
"SHAWNIGAN LAKE","BC",1917,8.6
"SHAWNIGAN LAKE","BC",1918,NA
"SHAWNIGAN LAKE","BC",1919,8.7
"SHAWNIGAN LAKE","BC",1920,9
"SHAWNIGAN LAKE","BC",1921,8.5
"SHAWNIGAN LAKE","BC",1922,8.5
"SHAWNIGAN LAKE","BC",1923,9.5
"SHAWNIGAN LAKE","BC",1924,9.2
"SHAWNIGAN LAKE","BC",1925,10
"SHAWNIGAN LAKE","BC",1926,10.7
"SHAWNIGAN LAKE","BC",1927,9
"SHAWNIGAN LAKE","BC",1928,9.9
"SHAWNIGAN LAKE","BC",1929,9.1
"SHAWNIGAN LAKE","BC",1930,9.4
"SHAWNIGAN LAKE","BC",1931,9.9
"SHAWNIGAN LAKE","BC",1932,9.3
"SHAWNIGAN LAKE","BC",1933,9
"SHAWNIGAN LAKE","BC",1934,10.8
"SHAWNIGAN LAKE","BC",1935,9.2
"SHAWNIGAN LAKE","BC",1936,9.7
"SHAWNIGAN LAKE","BC",1937,8.8
"SHAWNIGAN LAKE","BC",1938,9.2
"SHAWNIGAN LAKE","BC",1939,9.5
"SHAWNIGAN LAKE","BC",1940,10.6
"SHAWNIGAN LAKE","BC",1941,10.1
"SHAWNIGAN LAKE","BC",1942,9.7
"SHAWNIGAN LAKE","BC",1943,9.1
"SHAWNIGAN LAKE","BC",1944,10.6
"SHAWNIGAN LAKE","BC",1945,9.9
"SHAWNIGAN LAKE","BC",1946,9.2
"SHAWNIGAN LAKE","BC",1947,10.1
"SHAWNIGAN LAKE","BC",1948,8.8
"SHAWNIGAN LAKE","BC",1949,9.2
"SHAWNIGAN LAKE","BC",1950,8.6
"SHAWNIGAN LAKE","BC",1951,9.4
"SHAWNIGAN LAKE","BC",1952,9.6
"SHAWNIGAN LAKE","BC",1953,10
"SHAWNIGAN LAKE","BC",1954,8.7
"SHAWNIGAN LAKE","BC",1955,8.4
"SHAWNIGAN LAKE","BC",1956,9.4
"SHAWNIGAN LAKE","BC",1957,9
"SHAWNIGAN LAKE","BC",1958,10.6
"SHAWNIGAN LAKE","BC",1959,9.1
"SHAWNIGAN LAKE","BC",1960,9.3
"SHAWNIGAN LAKE","BC",1961,NA
"SHAWNIGAN LAKE","BC",1962,9.6
"SHAWNIGAN LAKE","BC",1963,10
"SHAWNIGAN LAKE","BC",1964,8.9
"SHAWNIGAN LAKE","BC",1965,9.5
"SHAWNIGAN LAKE","BC",1966,9.6
"SHAWNIGAN LAKE","BC",1967,10.2
"SHAWNIGAN LAKE","BC",1968,9.4
"SHAWNIGAN LAKE","BC",1969,9.2
"SHAWNIGAN LAKE","BC",1970,9.2
"SHAWNIGAN LAKE","BC",1971,8.8
"SHAWNIGAN LAKE","BC",1972,8.7
"SHAWNIGAN LAKE","BC",1973,9
"SHAWNIGAN LAKE","BC",1974,9.4
"SHAWNIGAN LAKE","BC",1975,8.7
"SHAWNIGAN LAKE","BC",1976,9.2
"SHAWNIGAN LAKE","BC",1977,9.3
"SHAWNIGAN LAKE","BC",1978,9.6
"SHAWNIGAN LAKE","BC",1979,9.7
"SHAWNIGAN LAKE","BC",1980,9.2
"SHAWNIGAN LAKE","BC",1981,9.5
"SHAWNIGAN LAKE","BC",1982,9
"SHAWNIGAN LAKE","BC",1983,9.6
